SRID	NAME	PROJ
2658	Pulkovo 1995 / 3-degree Gauss-Kruger zone 24	+proj=tmerc +lat_0=0 +lon_0=72 +k=1.000000 +x_0=24500000 +y_0=0 +ellps=krass +units=m +no_defs 
2659	Pulkovo 1995 / 3-degree Gauss-Kruger zone 25	+proj=tmerc +lat_0=0 +lon_0=75 +k=1.000000 +x_0=25500000 +y_0=0 +ellps=krass +units=m +no_defs 
2660	Pulkovo 1995 / 3-degree Gauss-Kruger zone 26	+proj=tmerc +lat_0=0 +lon_0=78 +k=1.000000 +x_0=26500000 +y_0=0 +ellps=krass +units=m +no_defs 
2661	Pulkovo 1995 / 3-degree Gauss-Kruger zone 27	+proj=tmerc +lat_0=0 +lon_0=81 +k=1.000000 +x_0=27500000 +y_0=0 +ellps=krass +units=m +no_defs 
2662	Pulkovo 1995 / 3-degree Gauss-Kruger zone 28	+proj=tmerc +lat_0=0 +lon_0=84 +k=1.000000 +x_0=28500000 +y_0=0 +ellps=krass +units=m +no_defs 
2663	Pulkovo 1995 / 3-degree Gauss-Kruger zone 29	+proj=tmerc +lat_0=0 +lon_0=87 +k=1.000000 +x_0=29500000 +y_0=0 +ellps=krass +units=m +no_defs 
2664	Pulkovo 1995 / 3-degree Gauss-Kruger zone 30	+proj=tmerc +lat_0=0 +lon_0=90 +k=1.000000 +x_0=30500000 +y_0=0 +ellps=krass +units=m +no_defs 
2665	Pulkovo 1995 / 3-degree Gauss-Kruger zone 31	+proj=tmerc +lat_0=0 +lon_0=93 +k=1.000000 +x_0=31500000 +y_0=0 +ellps=krass +units=m +no_defs 
2666	Pulkovo 1995 / 3-degree Gauss-Kruger zone 32	+proj=tmerc +lat_0=0 +lon_0=96 +k=1.000000 +x_0=32500000 +y_0=0 +ellps=krass +units=m +no_defs 
2667	Pulkovo 1995 / 3-degree Gauss-Kruger zone 33	+proj=tmerc +lat_0=0 +lon_0=99 +k=1.000000 +x_0=33500000 +y_0=0 +ellps=krass +units=m +no_defs 
2668	Pulkovo 1995 / 3-degree Gauss-Kruger zone 34	+proj=tmerc +lat_0=0 +lon_0=102 +k=1.000000 +x_0=34500000 +y_0=0 +ellps=krass +units=m +no_defs 
2669	Pulkovo 1995 / 3-degree Gauss-Kruger zone 35	+proj=tmerc +lat_0=0 +lon_0=105 +k=1.000000 +x_0=35500000 +y_0=0 +ellps=krass +units=m +no_defs 
2670	Pulkovo 1995 / 3-degree Gauss-Kruger zone 36	+proj=tmerc +lat_0=0 +lon_0=108 +k=1.000000 +x_0=36500000 +y_0=0 +ellps=krass +units=m +no_defs 
2671	Pulkovo 1995 / 3-degree Gauss-Kruger zone 37	+proj=tmerc +lat_0=0 +lon_0=111 +k=1.000000 +x_0=37500000 +y_0=0 +ellps=krass +units=m +no_defs 
2672	Pulkovo 1995 / 3-degree Gauss-Kruger zone 38	+proj=tmerc +lat_0=0 +lon_0=114 +k=1.000000 +x_0=38500000 +y_0=0 +ellps=krass +units=m +no_defs 
2673	Pulkovo 1995 / 3-degree Gauss-Kruger zone 39	+proj=tmerc +lat_0=0 +lon_0=117 +k=1.000000 +x_0=39500000 +y_0=0 +ellps=krass +units=m +no_defs 
2674	Pulkovo 1995 / 3-degree Gauss-Kruger zone 40	+proj=tmerc +lat_0=0 +lon_0=120 +k=1.000000 +x_0=40500000 +y_0=0 +ellps=krass +units=m +no_defs 
2675	Pulkovo 1995 / 3-degree Gauss-Kruger zone 41	+proj=tmerc +lat_0=0 +lon_0=123 +k=1.000000 +x_0=41500000 +y_0=0 +ellps=krass +units=m +no_defs 
2676	Pulkovo 1995 / 3-degree Gauss-Kruger zone 42	+proj=tmerc +lat_0=0 +lon_0=126 +k=1.000000 +x_0=42500000 +y_0=0 +ellps=krass +units=m +no_defs 
2677	Pulkovo 1995 / 3-degree Gauss-Kruger zone 43	+proj=tmerc +lat_0=0 +lon_0=129 +k=1.000000 +x_0=43500000 +y_0=0 +ellps=krass +units=m +no_defs 
2678	Pulkovo 1995 / 3-degree Gauss-Kruger zone 44	+proj=tmerc +lat_0=0 +lon_0=132 +k=1.000000 +x_0=44500000 +y_0=0 +ellps=krass +units=m +no_defs 
2679	Pulkovo 1995 / 3-degree Gauss-Kruger zone 45	+proj=tmerc +lat_0=0 +lon_0=135 +k=1.000000 +x_0=45500000 +y_0=0 +ellps=krass +units=m +no_defs 
2680	Pulkovo 1995 / 3-degree Gauss-Kruger zone 46	+proj=tmerc +lat_0=0 +lon_0=138 +k=1.000000 +x_0=46500000 +y_0=0 +ellps=krass +units=m +no_defs 
2681	Pulkovo 1995 / 3-degree Gauss-Kruger zone 47	+proj=tmerc +lat_0=0 +lon_0=141 +k=1.000000 +x_0=47500000 +y_0=0 +ellps=krass +units=m +no_defs 
2682	Pulkovo 1995 / 3-degree Gauss-Kruger zone 48	+proj=tmerc +lat_0=0 +lon_0=144 +k=1.000000 +x_0=48500000 +y_0=0 +ellps=krass +units=m +no_defs 
2683	Pulkovo 1995 / 3-degree Gauss-Kruger zone 49	+proj=tmerc +lat_0=0 +lon_0=147 +k=1.000000 +x_0=49500000 +y_0=0 +ellps=krass +units=m +no_defs 
2684	Pulkovo 1995 / 3-degree Gauss-Kruger zone 50	+proj=tmerc +lat_0=0 +lon_0=150 +k=1.000000 +x_0=50500000 +y_0=0 +ellps=krass +units=m +no_defs 
2685	Pulkovo 1995 / 3-degree Gauss-Kruger zone 51	+proj=tmerc +lat_0=0 +lon_0=153 +k=1.000000 +x_0=51500000 +y_0=0 +ellps=krass +units=m +no_defs 
2686	Pulkovo 1995 / 3-degree Gauss-Kruger zone 52	+proj=tmerc +lat_0=0 +lon_0=156 +k=1.000000 +x_0=52500000 +y_0=0 +ellps=krass +units=m +no_defs 
2687	Pulkovo 1995 / 3-degree Gauss-Kruger zone 53	+proj=tmerc +lat_0=0 +lon_0=159 +k=1.000000 +x_0=53500000 +y_0=0 +ellps=krass +units=m +no_defs 
2688	Pulkovo 1995 / 3-degree Gauss-Kruger zone 54	+proj=tmerc +lat_0=0 +lon_0=162 +k=1.000000 +x_0=54500000 +y_0=0 +ellps=krass +units=m +no_defs 
2689	Pulkovo 1995 / 3-degree Gauss-Kruger zone 55	+proj=tmerc +lat_0=0 +lon_0=165 +k=1.000000 +x_0=55500000 +y_0=0 +ellps=krass +units=m +no_defs 
2690	Pulkovo 1995 / 3-degree Gauss-Kruger zone 56	+proj=tmerc +lat_0=0 +lon_0=168 +k=1.000000 +x_0=56500000 +y_0=0 +ellps=krass +units=m +no_defs 
2691	Pulkovo 1995 / 3-degree Gauss-Kruger zone 57	+proj=tmerc +lat_0=0 +lon_0=171 +k=1.000000 +x_0=57500000 +y_0=0 +ellps=krass +units=m +no_defs 
2692	Pulkovo 1995 / 3-degree Gauss-Kruger zone 58	+proj=tmerc +lat_0=0 +lon_0=174 +k=1.000000 +x_0=58500000 +y_0=0 +ellps=krass +units=m +no_defs 
2693	Pulkovo 1995 / 3-degree Gauss-Kruger zone 59	+proj=tmerc +lat_0=0 +lon_0=177 +k=1.000000 +x_0=59500000 +y_0=0 +ellps=krass +units=m +no_defs 
2694	Pulkovo 1995 / 3-degree Gauss-Kruger zone 60	+proj=tmerc +lat_0=0 +lon_0=180 +k=1.000000 +x_0=60000000 +y_0=0 +ellps=krass +units=m +no_defs 
2695	Pulkovo 1995 / 3-degree Gauss-Kruger zone 61	+proj=tmerc +lat_0=0 +lon_0=-177 +k=1.000000 +x_0=61500000 +y_0=0 +ellps=krass +units=m +no_defs 
2696	Pulkovo 1995 / 3-degree Gauss-Kruger zone 62	+proj=tmerc +lat_0=0 +lon_0=-174 +k=1.000000 +x_0=62500000 +y_0=0 +ellps=krass +units=m +no_defs 
2697	Pulkovo 1995 / 3-degree Gauss-Kruger zone 63	+proj=tmerc +lat_0=0 +lon_0=-171 +k=1.000000 +x_0=63500000 +y_0=0 +ellps=krass +units=m +no_defs 
2698	Pulkovo 1995 / 3-degree Gauss-Kruger zone 64	+proj=tmerc +lat_0=0 +lon_0=-168 +k=1.000000 +x_0=64500000 +y_0=0 +ellps=krass +units=m +no_defs 
2699	Pulkovo 1995 / 3-degree Gauss-Kruger CM 21E	+proj=tmerc +lat_0=0 +lon_0=21 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2700	Pulkovo 1995 / 3-degree Gauss-Kruger CM 24E	+proj=tmerc +lat_0=0 +lon_0=24 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2701	Pulkovo 1995 / 3-degree Gauss-Kruger CM 27E	+proj=tmerc +lat_0=0 +lon_0=27 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2702	Pulkovo 1995 / 3-degree Gauss-Kruger CM 30E	+proj=tmerc +lat_0=0 +lon_0=30 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2703	Pulkovo 1995 / 3-degree Gauss-Kruger CM 33E	+proj=tmerc +lat_0=0 +lon_0=33 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2704	Pulkovo 1995 / 3-degree Gauss-Kruger CM 36E	+proj=tmerc +lat_0=0 +lon_0=36 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2705	Pulkovo 1995 / 3-degree Gauss-Kruger CM 39E	+proj=tmerc +lat_0=0 +lon_0=39 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2706	Pulkovo 1995 / 3-degree Gauss-Kruger CM 42E	+proj=tmerc +lat_0=0 +lon_0=42 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2707	Pulkovo 1995 / 3-degree Gauss-Kruger CM 45E	+proj=tmerc +lat_0=0 +lon_0=45 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2708	Pulkovo 1995 / 3-degree Gauss-Kruger CM 48E	+proj=tmerc +lat_0=0 +lon_0=48 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2709	Pulkovo 1995 / 3-degree Gauss-Kruger CM 51E	+proj=tmerc +lat_0=0 +lon_0=51 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2710	Pulkovo 1995 / 3-degree Gauss-Kruger CM 54E	+proj=tmerc +lat_0=0 +lon_0=54 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2711	Pulkovo 1995 / 3-degree Gauss-Kruger CM 57E	+proj=tmerc +lat_0=0 +lon_0=57 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2712	Pulkovo 1995 / 3-degree Gauss-Kruger CM 60E	+proj=tmerc +lat_0=0 +lon_0=60 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2713	Pulkovo 1995 / 3-degree Gauss-Kruger CM 63E	+proj=tmerc +lat_0=0 +lon_0=63 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2714	Pulkovo 1995 / 3-degree Gauss-Kruger CM 66E	+proj=tmerc +lat_0=0 +lon_0=66 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2715	Pulkovo 1995 / 3-degree Gauss-Kruger CM 69E	+proj=tmerc +lat_0=0 +lon_0=69 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2716	Pulkovo 1995 / 3-degree Gauss-Kruger CM 72E	+proj=tmerc +lat_0=0 +lon_0=72 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2717	Pulkovo 1995 / 3-degree Gauss-Kruger CM 75E	+proj=tmerc +lat_0=0 +lon_0=75 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2718	Pulkovo 1995 / 3-degree Gauss-Kruger CM 78E	+proj=tmerc +lat_0=0 +lon_0=78 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2719	Pulkovo 1995 / 3-degree Gauss-Kruger CM 81E	+proj=tmerc +lat_0=0 +lon_0=81 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2720	Pulkovo 1995 / 3-degree Gauss-Kruger CM 84E	+proj=tmerc +lat_0=0 +lon_0=84 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2721	Pulkovo 1995 / 3-degree Gauss-Kruger CM 87E	+proj=tmerc +lat_0=0 +lon_0=87 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2722	Pulkovo 1995 / 3-degree Gauss-Kruger CM 90E	+proj=tmerc +lat_0=0 +lon_0=90 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2723	Pulkovo 1995 / 3-degree Gauss-Kruger CM 93E	+proj=tmerc +lat_0=0 +lon_0=93 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2724	Pulkovo 1995 / 3-degree Gauss-Kruger CM 96E	+proj=tmerc +lat_0=0 +lon_0=96 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2725	Pulkovo 1995 / 3-degree Gauss-Kruger CM 99E	+proj=tmerc +lat_0=0 +lon_0=99 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2726	Pulkovo 1995 / 3-degree Gauss-Kruger CM 102E	+proj=tmerc +lat_0=0 +lon_0=102 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2727	Pulkovo 1995 / 3-degree Gauss-Kruger CM 105E	+proj=tmerc +lat_0=0 +lon_0=105 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2728	Pulkovo 1995 / 3-degree Gauss-Kruger CM 108E	+proj=tmerc +lat_0=0 +lon_0=108 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2729	Pulkovo 1995 / 3-degree Gauss-Kruger CM 111E	+proj=tmerc +lat_0=0 +lon_0=111 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2730	Pulkovo 1995 / 3-degree Gauss-Kruger CM 114E	+proj=tmerc +lat_0=0 +lon_0=114 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2731	Pulkovo 1995 / 3-degree Gauss-Kruger CM 117E	+proj=tmerc +lat_0=0 +lon_0=117 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2732	Pulkovo 1995 / 3-degree Gauss-Kruger CM 120E	+proj=tmerc +lat_0=0 +lon_0=120 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2733	Pulkovo 1995 / 3-degree Gauss-Kruger CM 123E	+proj=tmerc +lat_0=0 +lon_0=123 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2734	Pulkovo 1995 / 3-degree Gauss-Kruger CM 126E	+proj=tmerc +lat_0=0 +lon_0=126 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2735	Pulkovo 1995 / 3-degree Gauss-Kruger CM 129E	+proj=tmerc +lat_0=0 +lon_0=129 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2736	Tete / UTM zone 36S	+proj=utm +zone=36 +south +ellps=clrk66 +units=m +no_defs
2737	Tete / UTM zone 37S	+proj=utm +zone=37 +south +ellps=clrk66 +units=m +no_defs
2738	Pulkovo 1995 / 3-degree Gauss-Kruger CM 132E	+proj=tmerc +lat_0=0 +lon_0=132 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2739	Pulkovo 1995 / 3-degree Gauss-Kruger CM 135E	+proj=tmerc +lat_0=0 +lon_0=135 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2740	Pulkovo 1995 / 3-degree Gauss-Kruger CM 138E	+proj=tmerc +lat_0=0 +lon_0=138 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2741	Pulkovo 1995 / 3-degree Gauss-Kruger CM 141E	+proj=tmerc +lat_0=0 +lon_0=141 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2742	Pulkovo 1995 / 3-degree Gauss-Kruger CM 144E	+proj=tmerc +lat_0=0 +lon_0=144 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2743	Pulkovo 1995 / 3-degree Gauss-Kruger CM 147E	+proj=tmerc +lat_0=0 +lon_0=147 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2744	Pulkovo 1995 / 3-degree Gauss-Kruger CM 150E	+proj=tmerc +lat_0=0 +lon_0=150 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2745	Pulkovo 1995 / 3-degree Gauss-Kruger CM 153E	+proj=tmerc +lat_0=0 +lon_0=153 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2746	Pulkovo 1995 / 3-degree Gauss-Kruger CM 156E	+proj=tmerc +lat_0=0 +lon_0=156 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2747	Pulkovo 1995 / 3-degree Gauss-Kruger CM 159E	+proj=tmerc +lat_0=0 +lon_0=159 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2748	Pulkovo 1995 / 3-degree Gauss-Kruger CM 162E	+proj=tmerc +lat_0=0 +lon_0=162 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2749	Pulkovo 1995 / 3-degree Gauss-Kruger CM 165E	+proj=tmerc +lat_0=0 +lon_0=165 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2750	Pulkovo 1995 / 3-degree Gauss-Kruger CM 168E	+proj=tmerc +lat_0=0 +lon_0=168 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2751	Pulkovo 1995 / 3-degree Gauss-Kruger CM 171E	+proj=tmerc +lat_0=0 +lon_0=171 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2752	Pulkovo 1995 / 3-degree Gauss-Kruger CM 174E	+proj=tmerc +lat_0=0 +lon_0=174 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2753	Pulkovo 1995 / 3-degree Gauss-Kruger CM 177E	+proj=tmerc +lat_0=0 +lon_0=177 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2754	Pulkovo 1995 / 3-degree Gauss-Kruger CM 180E	+proj=tmerc +lat_0=0 +lon_0=180 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2755	Pulkovo 1995 / 3-degree Gauss-Kruger CM 177W	+proj=tmerc +lat_0=0 +lon_0=-177 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2756	Pulkovo 1995 / 3-degree Gauss-Kruger CM 174W	+proj=tmerc +lat_0=0 +lon_0=-174 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2757	Pulkovo 1995 / 3-degree Gauss-Kruger CM 171W	+proj=tmerc +lat_0=0 +lon_0=-171 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2758	Pulkovo 1995 / 3-degree Gauss-Kruger CM 168W	+proj=tmerc +lat_0=0 +lon_0=-168 +k=1.000000 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs 
2759	NAD83(HARN) / Alabama East	+proj=tmerc +lat_0=30.5 +lon_0=-85.83333333333333 +k=0.999960 +x_0=200000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2760	NAD83(HARN) / Alabama West	+proj=tmerc +lat_0=30 +lon_0=-87.5 +k=0.999933 +x_0=600000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2761	NAD83(HARN) / Arizona East	+proj=tmerc +lat_0=31 +lon_0=-110.1666666666667 +k=0.999900 +x_0=213360 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2762	NAD83(HARN) / Arizona Central	+proj=tmerc +lat_0=31 +lon_0=-111.9166666666667 +k=0.999900 +x_0=213360 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2763	NAD83(HARN) / Arizona West	+proj=tmerc +lat_0=31 +lon_0=-113.75 +k=0.999933 +x_0=213360 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2764	NAD83(HARN) / Arkansas North	+proj=lcc +lat_1=36.23333333333333 +lat_2=34.93333333333333 +lat_0=34.33333333333334 +lon_0=-92 +x_0=400000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2765	NAD83(HARN) / Arkansas South	+proj=lcc +lat_1=34.76666666666667 +lat_2=33.3 +lat_0=32.66666666666666 +lon_0=-92 +x_0=400000 +y_0=400000 +ellps=GRS80 +units=m +no_defs 
2766	NAD83(HARN) / California zone 1	+proj=lcc +lat_1=41.66666666666666 +lat_2=40 +lat_0=39.33333333333334 +lon_0=-122 +x_0=2000000 +y_0=500000 +ellps=GRS80 +units=m +no_defs 
2767	NAD83(HARN) / California zone 2	+proj=lcc +lat_1=39.83333333333334 +lat_2=38.33333333333334 +lat_0=37.66666666666666 +lon_0=-122 +x_0=2000000 +y_0=500000 +ellps=GRS80 +units=m +no_defs 
2768	NAD83(HARN) / California zone 3	+proj=lcc +lat_1=38.43333333333333 +lat_2=37.06666666666667 +lat_0=36.5 +lon_0=-120.5 +x_0=2000000 +y_0=500000 +ellps=GRS80 +units=m +no_defs 
2769	NAD83(HARN) / California zone 4	+proj=lcc +lat_1=37.25 +lat_2=36 +lat_0=35.33333333333334 +lon_0=-119 +x_0=2000000 +y_0=500000 +ellps=GRS80 +units=m +no_defs 
2770	NAD83(HARN) / California zone 5	+proj=lcc +lat_1=35.46666666666667 +lat_2=34.03333333333333 +lat_0=33.5 +lon_0=-118 +x_0=2000000 +y_0=500000 +ellps=GRS80 +units=m +no_defs 
2771	NAD83(HARN) / California zone 6	+proj=lcc +lat_1=33.88333333333333 +lat_2=32.78333333333333 +lat_0=32.16666666666666 +lon_0=-116.25 +x_0=2000000 +y_0=500000 +ellps=GRS80 +units=m +no_defs 
2772	NAD83(HARN) / Colorado North	+proj=lcc +lat_1=40.78333333333333 +lat_2=39.71666666666667 +lat_0=39.33333333333334 +lon_0=-105.5 +x_0=914401.8289 +y_0=304800.6096 +ellps=GRS80 +units=m +no_defs 
2773	NAD83(HARN) / Colorado Central	+proj=lcc +lat_1=39.75 +lat_2=38.45 +lat_0=37.83333333333334 +lon_0=-105.5 +x_0=914401.8289 +y_0=304800.6096 +ellps=GRS80 +units=m +no_defs 
2774	NAD83(HARN) / Colorado South	+proj=lcc +lat_1=38.43333333333333 +lat_2=37.23333333333333 +lat_0=36.66666666666666 +lon_0=-105.5 +x_0=914401.8289 +y_0=304800.6096 +ellps=GRS80 +units=m +no_defs 
2775	NAD83(HARN) / Connecticut	+proj=lcc +lat_1=41.86666666666667 +lat_2=41.2 +lat_0=40.83333333333334 +lon_0=-72.75 +x_0=304800.6096 +y_0=152400.3048 +ellps=GRS80 +units=m +no_defs 
2776	NAD83(HARN) / Delaware	+proj=tmerc +lat_0=38 +lon_0=-75.41666666666667 +k=0.999995 +x_0=200000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2777	NAD83(HARN) / Florida East	+proj=tmerc +lat_0=24.33333333333333 +lon_0=-81 +k=0.999941 +x_0=200000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2778	NAD83(HARN) / Florida West	+proj=tmerc +lat_0=24.33333333333333 +lon_0=-82 +k=0.999941 +x_0=200000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2779	NAD83(HARN) / Florida North	+proj=lcc +lat_1=30.75 +lat_2=29.58333333333333 +lat_0=29 +lon_0=-84.5 +x_0=600000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2780	NAD83(HARN) / Georgia East	+proj=tmerc +lat_0=30 +lon_0=-82.16666666666667 +k=0.999900 +x_0=200000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2781	NAD83(HARN) / Georgia West	+proj=tmerc +lat_0=30 +lon_0=-84.16666666666667 +k=0.999900 +x_0=700000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2782	NAD83(HARN) / Hawaii zone 1	+proj=tmerc +lat_0=18.83333333333333 +lon_0=-155.5 +k=0.999967 +x_0=500000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2783	NAD83(HARN) / Hawaii zone 2	+proj=tmerc +lat_0=20.33333333333333 +lon_0=-156.6666666666667 +k=0.999967 +x_0=500000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2784	NAD83(HARN) / Hawaii zone 3	+proj=tmerc +lat_0=21.16666666666667 +lon_0=-158 +k=0.999990 +x_0=500000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2785	NAD83(HARN) / Hawaii zone 4	+proj=tmerc +lat_0=21.83333333333333 +lon_0=-159.5 +k=0.999990 +x_0=500000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2786	NAD83(HARN) / Hawaii zone 5	+proj=tmerc +lat_0=21.66666666666667 +lon_0=-160.1666666666667 +k=1.000000 +x_0=500000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2787	NAD83(HARN) / Idaho East	+proj=tmerc +lat_0=41.66666666666666 +lon_0=-112.1666666666667 +k=0.999947 +x_0=200000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2788	NAD83(HARN) / Idaho Central	+proj=tmerc +lat_0=41.66666666666666 +lon_0=-114 +k=0.999947 +x_0=500000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2789	NAD83(HARN) / Idaho West	+proj=tmerc +lat_0=41.66666666666666 +lon_0=-115.75 +k=0.999933 +x_0=800000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2790	NAD83(HARN) / Illinois East	+proj=tmerc +lat_0=36.66666666666666 +lon_0=-88.33333333333333 +k=0.999975 +x_0=300000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2791	NAD83(HARN) / Illinois West	+proj=tmerc +lat_0=36.66666666666666 +lon_0=-90.16666666666667 +k=0.999941 +x_0=700000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2792	NAD83(HARN) / Indiana East	+proj=tmerc +lat_0=37.5 +lon_0=-85.66666666666667 +k=0.999967 +x_0=100000 +y_0=250000 +ellps=GRS80 +units=m +no_defs 
2793	NAD83(HARN) / Indiana West	+proj=tmerc +lat_0=37.5 +lon_0=-87.08333333333333 +k=0.999967 +x_0=900000 +y_0=250000 +ellps=GRS80 +units=m +no_defs 
2794	NAD83(HARN) / Iowa North	+proj=lcc +lat_1=43.26666666666667 +lat_2=42.06666666666667 +lat_0=41.5 +lon_0=-93.5 +x_0=1500000 +y_0=1000000 +ellps=GRS80 +units=m +no_defs 
2795	NAD83(HARN) / Iowa South	+proj=lcc +lat_1=41.78333333333333 +lat_2=40.61666666666667 +lat_0=40 +lon_0=-93.5 +x_0=500000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2796	NAD83(HARN) / Kansas North	+proj=lcc +lat_1=39.78333333333333 +lat_2=38.71666666666667 +lat_0=38.33333333333334 +lon_0=-98 +x_0=400000 +y_0=0 +ellps=GRS80 +units=m +no_defs 
2797	NAD83(HARN) / Kansas South	+proj=lcc +lat_1=38.56666666666667 +lat_2=37.26666666666667 +lat_0=36.66666666666666 +lon_0=-98.5 +x_0=400000 +y_0=400000 +ellps=GRS80 +units=m +no_defs 
